,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,winrate 30,winrate 6,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,TOV_right,STL_right,BLK_right,PF_right,+/-_right,winrate 30_right,winrate 6_right
10,LAS,LAS vs. IND,08/22/2019,W,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,IND,IND @ LAS,08/22/2019,L,40,77.56666666666666,29.53333333333333,71.46666666666667,41.16666666666666,5.7,16.966666666666665,33.0,12.8,16.0,79.36666666666666,9.7,25.6,35.3,16.533333333333335,12.7,6.5,3.7,17.233333333333334,-3.8,0.3333333333333333,0.3333333333333333
11,ATL,ATL vs. CHI,08/20/2019,L,40,75.1,27.36666666666667,69.46666666666667,38.93333333333333,6.366666666666666,21.03333333333333,29.86666666666667,14.0,18.566666666666666,75.86666666666666,9.966666666666667,25.566666666666666,35.53333333333333,16.733333333333334,13.633333333333333,7.066666666666666,5.833333333333332,16.566666666666666,-3.966666666666667,0.4,0.8333333333333334,CHI,CHI @ ATL,08/20/2019,W,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5
12,IND,IND vs. NYL,08/20/2019,L,40,77.56666666666666,29.53333333333333,71.46666666666667,41.16666666666666,5.7,16.966666666666665,33.0,12.8,16.0,79.36666666666666,9.7,25.6,35.3,16.533333333333335,12.7,6.5,3.7,17.233333333333334,-3.8,0.3333333333333333,0.3333333333333333,NYL,NYL @ IND,08/20/2019,W,40,76.66666666666667,28.566666666666666,68.53333333333333,41.3,6.333333333333332,19.933333333333334,31.93333333333333,13.2,16.8,78.23333333333333,8.8,26.9,35.7,18.6,15.366666666666667,6.7333333333333325,3.566666666666667,19.166666666666668,-7.033333333333332,0.26666666666666666,0.0
13,NYL,NYL @ IND,08/20/2019,W,40,76.66666666666667,28.566666666666666,68.53333333333333,41.3,6.333333333333332,19.933333333333334,31.93333333333333,13.2,16.8,78.23333333333333,8.8,26.9,35.7,18.6,15.366666666666667,6.7333333333333325,3.566666666666667,19.166666666666668,-7.033333333333332,0.26666666666666666,0.0,IND,IND vs. NYL,08/20/2019,L,40,77.56666666666666,29.53333333333333,71.46666666666667,41.16666666666666,5.7,16.966666666666665,33.0,12.8,16.0,79.36666666666666,9.7,25.6,35.3,16.533333333333335,12.7,6.5,3.7,17.233333333333334,-3.8,0.3333333333333333,0.3333333333333333
14,MIN,MIN @ LAS,08/20/2019,L,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5,LAS,LAS vs. MIN,08/20/2019,W,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666
15,SEA,SEA vs. MIN,08/18/2019,W,40,78.96666666666667,29.3,67.76666666666667,42.9,8.266666666666667,22.16666666666667,36.73333333333333,12.1,15.466666666666667,76.63333333333334,8.633333333333333,25.4,34.03333333333333,18.83333333333333,14.666666666666664,9.1,4.233333333333333,14.633333333333333,3.8,0.6666666666666666,0.8333333333333334,MIN,MIN @ SEA,08/18/2019,L,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5
16,DAL,DAL @ CON,08/18/2019,L,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0,CON,CON vs. DAL,08/18/2019,W,40,84.1,31.93333333333333,71.4,44.53333333333333,7.7333333333333325,20.53333333333333,37.5,12.5,17.333333333333332,72.06666666666666,10.566666666666666,26.5,37.06666666666667,19.7,13.233333333333333,8.3,3.8666666666666663,16.3,6.833333333333332,0.7666666666666667,0.8333333333333334
17,IND,IND @ WAS,08/18/2019,L,40,77.56666666666666,29.53333333333333,71.46666666666667,41.16666666666666,5.7,16.966666666666665,33.0,12.8,16.0,79.36666666666666,9.7,25.6,35.3,16.533333333333335,12.7,6.5,3.7,17.233333333333334,-3.8,0.3333333333333333,0.3333333333333333,WAS,WAS vs. IND,08/18/2019,W,40,85.6,31.93333333333333,69.93333333333334,45.26666666666666,8.766666666666667,25.2,34.166666666666664,12.966666666666667,15.066666666666665,84.53333333333333,7.866666666666666,25.03333333333333,32.9,20.6,11.166666666666664,7.966666666666668,4.6,15.033333333333333,7.333333333333332,0.7,0.6666666666666666
18,CHI,CHI vs. LVA,08/18/2019,L,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5,LVA,LVA @ CHI,08/18/2019,W,40,83.93333333333334,31.2,70.8,43.73333333333333,5.2,14.2,36.36666666666667,16.333333333333332,20.966666666666665,76.93333333333334,9.1,29.4,38.5,20.933333333333334,13.866666666666667,7.666666666666668,4.433333333333334,17.0,3.966666666666667,0.6,0.3333333333333333
19,CON,CON vs. DAL,08/18/2019,W,40,84.1,31.93333333333333,71.4,44.53333333333333,7.7333333333333325,20.53333333333333,37.5,12.5,17.333333333333332,72.06666666666666,10.566666666666666,26.5,37.06666666666667,19.7,13.233333333333333,8.3,3.8666666666666663,16.3,6.833333333333332,0.7666666666666667,0.8333333333333334,DAL,DAL @ CON,08/18/2019,L,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0
20,NYL,NYL @ DAL,08/16/2019,L,40,76.66666666666667,28.566666666666666,68.53333333333333,41.3,6.333333333333332,19.933333333333334,31.93333333333333,13.2,16.8,78.23333333333333,8.8,26.9,35.7,18.6,15.366666666666667,6.7333333333333325,3.566666666666667,19.166666666666668,-7.033333333333332,0.26666666666666666,0.0,DAL,DAL vs. NYL,08/16/2019,W,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0
21,DAL,DAL vs. NYL,08/16/2019,W,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0,NYL,NYL @ DAL,08/16/2019,L,40,76.66666666666667,28.566666666666666,68.53333333333333,41.3,6.333333333333332,19.933333333333334,31.93333333333333,13.2,16.8,78.23333333333333,8.8,26.9,35.7,18.6,15.366666666666667,6.7333333333333325,3.566666666666667,19.166666666666668,-7.033333333333332,0.26666666666666666,0.0
22,MIN,MIN vs. WAS,08/16/2019,L,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5,WAS,WAS @ MIN,08/16/2019,W,40,85.6,31.93333333333333,69.93333333333334,45.26666666666666,8.766666666666667,25.2,34.166666666666664,12.966666666666667,15.066666666666665,84.53333333333333,7.866666666666666,25.03333333333333,32.9,20.6,11.166666666666664,7.966666666666668,4.6,15.033333333333333,7.333333333333332,0.7,0.6666666666666666
23,PHO,PHO vs. ATL,08/16/2019,W,40,80.66666666666667,28.63333333333333,66.03333333333333,42.86666666666667,7.7333333333333325,22.23333333333333,34.43333333333333,15.666666666666664,18.233333333333334,87.33333333333331,7.133333333333334,25.73333333333333,32.86666666666667,18.733333333333334,12.066666666666665,5.7333333333333325,4.166666666666667,16.866666666666667,0.8333333333333334,0.5,0.16666666666666666,ATL,ATL @ PHO,08/16/2019,L,40,75.1,27.36666666666667,69.46666666666667,38.93333333333333,6.366666666666666,21.03333333333333,29.86666666666667,14.0,18.566666666666666,75.86666666666666,9.966666666666667,25.566666666666666,35.53333333333333,16.733333333333334,13.633333333333333,7.066666666666666,5.833333333333332,16.566666666666666,-3.966666666666667,0.4,0.8333333333333334
24,LAS,LAS @ CHI,08/16/2019,L,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,CHI,CHI vs. LAS,08/16/2019,W,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5
25,PHO,PHO vs. CON,08/14/2019,L,40,80.66666666666667,28.63333333333333,66.03333333333333,42.86666666666667,7.7333333333333325,22.23333333333333,34.43333333333333,15.666666666666664,18.233333333333334,87.33333333333331,7.133333333333334,25.73333333333333,32.86666666666667,18.733333333333334,12.066666666666665,5.7333333333333325,4.166666666666667,16.866666666666667,0.8333333333333334,0.5,0.16666666666666666,CON,CON @ PHO,08/14/2019,W,40,84.1,31.93333333333333,71.4,44.53333333333333,7.7333333333333325,20.53333333333333,37.5,12.5,17.333333333333332,72.06666666666666,10.566666666666666,26.5,37.06666666666667,19.7,13.233333333333333,8.3,3.8666666666666663,16.3,6.833333333333332,0.7666666666666667,0.8333333333333334
26,DAL,DAL vs. LAS,08/14/2019,W,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0,LAS,LAS @ DAL,08/14/2019,L,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666
27,LAS,LAS @ DAL,08/14/2019,L,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,DAL,DAL vs. LAS,08/14/2019,W,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0
28,LVA,LVA vs. ATL,08/13/2019,W,40,83.93333333333334,31.2,70.8,43.73333333333333,5.2,14.2,36.36666666666667,16.333333333333332,20.966666666666665,76.93333333333334,9.1,29.4,38.5,20.933333333333334,13.866666666666667,7.666666666666668,4.433333333333334,17.0,3.966666666666667,0.6,0.3333333333333333,ATL,ATL @ LVA,08/13/2019,L,40,75.1,27.36666666666667,69.46666666666667,38.93333333333333,6.366666666666666,21.03333333333333,29.86666666666667,14.0,18.566666666666666,75.86666666666666,9.966666666666667,25.566666666666666,35.53333333333333,16.733333333333334,13.633333333333333,7.066666666666666,5.833333333333332,16.566666666666666,-3.966666666666667,0.4,0.8333333333333334
29,MIN,MIN @ NYL,08/13/2019,W,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5,NYL,NYL vs. MIN,08/13/2019,L,40,76.66666666666667,28.566666666666666,68.53333333333333,41.3,6.333333333333332,19.933333333333334,31.93333333333333,13.2,16.8,78.23333333333333,8.8,26.9,35.7,18.6,15.366666666666667,6.7333333333333325,3.566666666666667,19.166666666666668,-7.033333333333332,0.26666666666666666,0.0
30,CHI,CHI @ LAS,08/11/2019,L,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5,LAS,LAS vs. CHI,08/11/2019,W,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666
31,MIN,MIN @ WAS,08/11/2019,L,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5,WAS,WAS vs. MIN,08/11/2019,W,40,85.6,31.93333333333333,69.93333333333334,45.26666666666666,8.766666666666667,25.2,34.166666666666664,12.966666666666667,15.066666666666665,84.53333333333333,7.866666666666666,25.03333333333333,32.9,20.6,11.166666666666664,7.966666666666668,4.6,15.033333333333333,7.333333333333332,0.7,0.6666666666666666
32,LAS,LAS vs. CHI,08/11/2019,W,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,CHI,CHI @ LAS,08/11/2019,L,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5
33,CON,CON @ LVA,08/11/2019,L,40,84.1,31.93333333333333,71.4,44.53333333333333,7.7333333333333325,20.53333333333333,37.5,12.5,17.333333333333332,72.06666666666666,10.566666666666666,26.5,37.06666666666667,19.7,13.233333333333333,8.3,3.8666666666666663,16.3,6.833333333333332,0.7666666666666667,0.8333333333333334,LVA,LVA vs. CON,08/11/2019,W,40,83.93333333333334,31.2,70.8,43.73333333333333,5.2,14.2,36.36666666666667,16.333333333333332,20.966666666666665,76.93333333333334,9.1,29.4,38.5,20.933333333333334,13.866666666666667,7.666666666666668,4.433333333333334,17.0,3.966666666666667,0.6,0.3333333333333333
34,ATL,ATL @ IND,08/10/2019,L,40,75.1,27.36666666666667,69.46666666666667,38.93333333333333,6.366666666666666,21.03333333333333,29.86666666666667,14.0,18.566666666666666,75.86666666666666,9.966666666666667,25.566666666666666,35.53333333333333,16.733333333333334,13.633333333333333,7.066666666666666,5.833333333333332,16.566666666666666,-3.966666666666667,0.4,0.8333333333333334,IND,IND vs. ATL,08/10/2019,W,40,77.56666666666666,29.53333333333333,71.46666666666667,41.16666666666666,5.7,16.966666666666665,33.0,12.8,16.0,79.36666666666666,9.7,25.6,35.3,16.533333333333335,12.7,6.5,3.7,17.233333333333334,-3.8,0.3333333333333333,0.3333333333333333
35,PHO,PHO vs. DAL,08/10/2019,L,40,80.66666666666667,28.63333333333333,66.03333333333333,42.86666666666667,7.7333333333333325,22.23333333333333,34.43333333333333,15.666666666666664,18.233333333333334,87.33333333333331,7.133333333333334,25.73333333333333,32.86666666666667,18.733333333333334,12.066666666666665,5.7333333333333325,4.166666666666667,16.866666666666667,0.8333333333333334,0.5,0.16666666666666666,DAL,DAL @ PHO,08/10/2019,W,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0
36,CON,CON @ MIN,08/09/2019,L,40,84.1,31.93333333333333,71.4,44.53333333333333,7.7333333333333325,20.53333333333333,37.5,12.5,17.333333333333332,72.06666666666666,10.566666666666666,26.5,37.06666666666667,19.7,13.233333333333333,8.3,3.8666666666666663,16.3,6.833333333333332,0.7666666666666667,0.8333333333333334,MIN,MIN vs. CON,08/09/2019,W,40,76.66666666666667,30.03333333333333,67.8,44.03333333333333,5.633333333333334,17.166666666666668,32.36666666666667,10.966666666666667,14.266666666666667,79.5,9.5,25.03333333333333,34.53333333333333,19.566666666666666,15.666666666666664,7.833333333333332,3.633333333333333,15.7,-0.5,0.4666666666666667,0.5
37,LVA,LVA vs. CHI,08/09/2019,L,40,83.93333333333334,31.2,70.8,43.73333333333333,5.2,14.2,36.36666666666667,16.333333333333332,20.966666666666665,76.93333333333334,9.1,29.4,38.5,20.933333333333334,13.866666666666667,7.666666666666668,4.433333333333334,17.0,3.966666666666667,0.6,0.3333333333333333,CHI,CHI @ LVA,08/09/2019,W,40,82.9,31.5,69.23333333333333,45.06666666666667,7.4,20.466666666666665,36.0,12.5,15.466666666666667,80.93333333333334,7.466666666666668,27.73333333333333,35.2,21.9,15.166666666666664,6.533333333333332,4.366666666666666,17.0,-0.7666666666666667,0.5333333333333333,0.5
38,LAS,LAS vs. PHO,08/08/2019,W,40,78.06666666666666,29.53333333333333,70.7,41.4,7.2333333333333325,20.766666666666666,34.03333333333333,11.766666666666667,14.2,82.56666666666666,9.533333333333333,25.33333333333333,34.86666666666667,17.9,13.066666666666665,7.833333333333332,3.533333333333333,16.633333333333333,0.8666666666666667,0.5333333333333333,0.6666666666666666,PHO,PHO @ LAS,08/08/2019,L,40,80.66666666666667,28.63333333333333,66.03333333333333,42.86666666666667,7.7333333333333325,22.23333333333333,34.43333333333333,15.666666666666664,18.233333333333334,87.33333333333331,7.133333333333334,25.73333333333333,32.86666666666667,18.733333333333334,12.066666666666665,5.7333333333333325,4.166666666666667,16.866666666666667,0.8333333333333334,0.5,0.16666666666666666
39,DAL,DAL @ SEA,08/08/2019,L,40,73.43333333333334,27.33333333333333,69.6,39.0,6.3,21.466666666666665,29.0,12.466666666666667,15.666666666666664,77.83333333333333,12.266666666666667,24.66666666666667,36.93333333333333,16.266666666666666,14.5,6.3,4.0,17.9,-7.3,0.2,0.0,SEA,SEA vs. DAL,08/08/2019,W,40,78.96666666666667,29.3,67.76666666666667,42.9,8.266666666666667,22.16666666666667,36.73333333333333,12.1,15.466666666666667,76.63333333333334,8.633333333333333,25.4,34.03333333333333,18.83333333333333,14.666666666666664,9.1,4.233333333333333,14.633333333333333,3.8,0.6666666666666666,0.8333333333333334
